unix,low,high,open,close,volume,date,vol_fiat
1480550400,741.59,754.9,742.51,754,4190.189912,2016-12-01,3159403.193
1480636800,753.53,780,754,769.25,6041.034453,2016-12-02,4647065.753
1480723200,759,771.92,769.78,766.98,3180.082053,2016-12-03,2439059.333
1480809600,762.83,769.76,766.86,767.99,2759.91257,2016-12-04,2119585.255
1480896000,748.6,767.99,767.94,752,4823.731027,2016-12-05,3627445.732
1480982400,752,761.58,752.01,759.8,4499.073551,2016-12-06,3418396.084
1481068800,750.26,768.9,759.93,764.34,4572.320141,2016-12-07,3494807.176
1481155200,761.71,772.82,764.34,767.89,4839.328278,2016-12-08,3716071.791
1481241600,765.97,773.22,767.9,773.22,3932.497893,2016-12-09,3040686.021
1481328000,770,776.99,773.15,775.87,3365.899261,2016-12-10,2611500.26
1481414400,765,776.08,776.05,771.05,3105.092013,2016-12-11,2394181.196
1481500800,770.88,782,771.05,778.94,4390.036899,2016-12-12,3419575.342
1481587200,772.76,790.34,779.26,776.18,5414.740745,2016-12-13,4202813.471
1481673600,773.2,781.8,776.65,777.66,4486.584603,2016-12-14,3489037.382
1481760000,775,780,777.66,776.16,5927.487861,2016-12-15,4600678.978
1481846400,774.8,785,776.16,780.98,5719.662389,2016-12-16,4466941.933
1481932800,779.5,791.97,780.85,788.57,4364.330371,2016-12-17,3441580.001
1482019200,787.19,791.96,788.98,790.72,2847.045848,2016-12-18,2251216.093
1482105600,789,794.99,790.71,790.81,5496.383811,2016-12-19,4346595.282
1482192000,788.58,799.21,791,798.99,5925.200601,2016-12-20,4734176.028
1482278400,798.88,834.5,798.98,834.5,8442.94665,2016-12-21,7045638.979
1482364800,832.38,875.75,834.15,856.02,8778.210641,2016-12-22,7514323.873
1482451200,855.45,918.5,856.45,917.26,12735.18421,2016-12-23,11681475.07
1482537600,880.1,918.19,917.28,891.5,6458.029767,2016-12-24,5757333.537
1482624000,851.11,897.4,891.59,896.12,5380.147457,2016-12-25,4821257.739
1482710400,890,908.24,895.94,902.09,3297.922355,2016-12-26,2975022.777
1482796800,895,943.36,902.08,925.2,6719.949231,2016-12-27,6217297.029
1482883200,923.95,983.46,925.28,982.17,9792.346831,2016-12-28,9617749.287
1482969600,950.5,988.88,982.25,970.72,8997.859016,2016-12-29,8734401.704
1483056000,930.3,970.51,970.51,960.81,7945.76302,2016-12-30,7634368.567
1483142400,949,973.37,961.52,973.37,3837.287886,2016-12-31,3735100.91
1483228800,964.37,1000,973.37,992.95,4421.502883,2017-01-01,4390331.288
1483315200,990.52,1034.39,992.96,1011.45,7723.635752,2017-01-02,7812071.381
1483401600,1006.71,1036.99,1011.52,1020.67,8615.260058,2017-01-03,8793337.484
1483488000,1018,1147,1020.69,1130.3,16222.23027,2017-01-04,18335986.87
1483574400,880,1175,1131.1,1007,20446.40562,2017-01-05,20589530.45
1483660800,875.01,1033.85,1007,895.71,14274.25921,2017-01-06,12785596.71
1483747200,802.07,910,895.78,909,11217.17863,2017-01-07,10196415.37
1483833600,899.16,953.8,908.99,923.33,5410.003499,2017-01-08,4995218.531
1483920000,886.42,923.58,922.04,902.66,5909.578122,2017-01-09,5334339.787
1484006400,899.01,915.1,902.66,907,7226.040447,2017-01-10,6554018.685
1484092800,765,923.98,906.81,795.77,19443.63528,2017-01-11,15472661.65
1484179200,734.64,840,795.8,812.25,13200.46288,2017-01-12,10722075.97
1484265600,782.85,835.01,812.25,831.42,10492.67371,2017-01-13,8723818.776
1484352000,822.34,847.52,831.42,828,4774.333776,2017-01-14,3953148.366
1484438400,819,835,828,833.31,2941.915049,2017-01-15,2451527.229
1484524800,826.03,840,833.43,834.41,3428.89193,2017-01-16,2861101.716
1484611200,830.1,909,834.4,906,7253.488571,2017-01-17,6571660.645
1484697600,850,916.7,906.09,887.99,6937.986524,2017-01-18,6160862.653
1484784000,883.08,907,887.98,902.92,5070.18463,2017-01-19,4577971.106
1484870400,890,904.59,902.92,894.31,3110.589742,2017-01-20,2781831.512
1484956800,891.28,930,894.31,925.06,4666.660889,2017-01-21,4316941.322
1485043200,902,946.25,925.06,931.22,5044.153548,2017-01-22,4697216.667
1485129600,910.63,931.33,929.45,910.7,4142.932274,2017-01-23,3772968.422
1485216000,880,923,911.78,887,6401.735153,2017-01-24,5678339.08
1485302400,886.99,903.98,887,896,4535.104576,2017-01-25,4063453.7
1485388800,896,921.95,896.75,917.02,4718.082533,2017-01-26,4326576.045
1485475200,911,924.47,917.02,922.63,3719.065486,2017-01-27,3431321.389
1485561600,921.81,925.5,922.89,924.98,2634.537997,2017-01-28,2436894.957
1485648000,915,927.47,924.69,916.54,2592.343654,2017-01-29,2375986.652
1485734400,914.69,923.95,916.56,923.23,3622.276662,2017-01-30,3344194.483
1485820800,922.94,972.3,923.26,970.01,6733.343187,2017-01-31,6531410.224
1485907200,963.84,992.75,970.01,992.75,5993.625966,2017-02-01,5950172.178
1485993600,978.74,1010,992.75,1008.38,5728.212381,2017-02-02,5776214.801
1486080000,994.34,1024.5,1008.4,1018,6776.269718,2017-02-03,6898242.573
1486166400,1001.8,1044.12,1018.48,1035.54,4793.805226,2017-02-04,4964177.064
1486252800,1003.02,1036.3,1035.54,1016.32,4621.391691,2017-02-05,4696812.803
1486339200,1014.64,1027.7,1016.32,1022.58,4367.258295,2017-02-06,4465870.987
1486425600,1021.75,1058.26,1022.65,1053.96,5492.408809,2017-02-07,5788779.188
1486512000,1016.49,1069.95,1053.95,1056.7,6979.972331,2017-02-08,7375736.762
1486598400,925,1079,1057.22,994.24,16569.6509,2017-02-09,16474209.71
1486684800,961,1008,993.58,1001.99,7943.726337,2017-02-10,7959534.352
1486771200,995.49,1023.89,1001.88,1018.65,4321.970596,2017-02-11,4402575.347
1486857600,1008,1018.88,1018.63,1010,1315.729558,2017-02-12,1328886.853
1486944000,985.68,1021.5,1009.99,1002.82,4721.750583,2017-02-13,4735065.919
1487030400,992.27,1018.97,1002.88,1013.92,5910.490328,2017-02-14,5992764.353
1487116800,1007.66,1016,1013.92,1014.53,4494.350168,2017-02-15,4559653.076
1487203200,1013.02,1041.88,1014.58,1038.94,5996.293233,2017-02-16,6229788.891
1487289600,1036.29,1064.6,1038.95,1057.3,6334.698454,2017-02-17,6697676.675
1487376000,1055.6,1073.8,1057.29,1062.15,3934.747885,2017-02-18,4179292.466
1487462400,1051.26,1067.78,1062.14,1059.88,3025.414245,2017-02-19,3206576.05
1487548800,1051.36,1095,1059.88,1089.82,4434.441985,2017-02-20,4832743.564
1487635200,1081.95,1132.95,1089.98,1128.29,7487.524018,2017-02-21,8448098.474
1487721600,1104.9,1140,1129.67,1128.71,6035.823468,2017-02-22,6812694.306
1487808000,1128.22,1197,1129.87,1186.9,7574.459959,2017-02-23,8990126.526
1487894400,1103.32,1221.93,1185.81,1186.91,12746.94745,2017-02-24,15129479.4
1487980800,1110,1189.49,1186.91,1158,6033.902428,2017-02-25,6987259.012
1488067200,1130.88,1187.33,1157.98,1184.91,4454.443995,2017-02-26,5278115.234
1488153600,1176,1198.99,1184.91,1195.81,5776.456217,2017-02-27,6907544.108
1488240000,1179.64,1214.94,1195.84,1195.08,6720.382369,2017-02-28,8031394.562
1488326400,1085.71,1230,1194.53,1230,8122.935683,2017-03-01,9991210.89
1488412800,1220,1298.61,1230,1269.17,8940.283351,2017-03-02,11346739.42
1488499200,1255.61,1294.99,1269.17,1292.86,8290.63821,2017-03-03,10718634.52
1488585600,1226.41,1294.48,1293.06,1273.97,6385.030906,2017-03-04,8134337.824
1488672000,1247.11,1278.99,1273.94,1278.98,3996.81718,2017-03-05,5111849.237
1488758400,1268.78,1288,1278.63,1284.99,4763.573312,2017-03-06,6121144.07
1488844800,1050,1288,1284.99,1237.36,10811.1348,2017-03-07,13377265.76
1488931200,1128,1246,1237.36,1150.22,13024.97293,2017-03-08,14981584.36
1489017600,1131.11,1214.95,1150.22,1197.3,8524.465133,2017-03-09,10206342.1
1489104000,956.85,1360,1197.3,1109.01,25699.70748,2017-03-10,28501232.59
1489190400,1107,1219,1111.92,1188.11,10281.23815,2017-03-11,12215241.86
1489276800,1150,1244,1188.11,1235.58,6729.151336,2017-03-12,8314404.807
1489363200,1206,1249,1235.27,1245.49,9584.416013,2017-03-13,11937294.3
1489449600,1213.55,1262,1245.5,1247.42,7464.259695,2017-03-14,9311066.829
1489536000,1240,1264.55,1247.43,1263,7273.308964,2017-03-15,9186189.222
1489622400,1117.77,1277.27,1263.55,1175.11,16599.28971,2017-03-16,19505991.33
1489708800,1065.74,1175.11,1175.11,1069.57,19222.89558,2017-03-17,20560232.43
