날짜,종가,오픈,고가,저가,변동 %
2021/11/12,"1,179.94","1,181.03","1,182.35","1,176.45",-0.21%
2021/11/11,"1,182.39","1,185.15","1,187.30","1,178.17",-0.22%
2021/11/10,"1,185.04","1,178.51","1,186.15","1,176.82",0.56%
2021/11/9,"1,178.40","1,180.95","1,182.10","1,173.36",-0.21%
2021/11/8,"1,180.84","1,181.51","1,186.74","1,178.93",-0.02%
2021/11/5,"1,181.05","1,185.97","1,188.43","1,181.21",-0.40%
2021/11/4,"1,185.75","1,178.89","1,188.81","1,176.94",0.59%
2021/11/3,"1,178.78","1,178.59","1,185.94","1,177.99",0.03%
2021/11/2,"1,178.48","1,177.56","1,179.91","1,174.03",0.09%
2021/11/1,"1,177.45","1,174.61","1,179.89","1,173.28",0.25%
2021/10/29,"1,174.47","1,168.45","1,177.07","1,167.81",0.52%
2021/10/28,"1,168.44","1,172.17","1,174.70","1,166.06",-0.31%
2021/10/27,"1,172.05","1,168.06","1,174.09","1,165.45",0.35%
2021/10/26,"1,167.95","1,168.13","1,170.47","1,163.75",-0.01%
2021/10/25,"1,168.02","1,177.44","1,178.96","1,166.96",-0.80%
2021/10/22,"1,177.48","1,177.86","1,181.70","1,173.64",-0.03%
2021/10/21,"1,177.78","1,175.81","1,180.03","1,172.98",0.18%
2021/10/20,"1,175.63","1,175.61","1,179.26","1,172.01",0.04%
2021/10/19,"1,175.13","1,185.89","1,186.04","1,173.73",-0.87%
2021/10/18,"1,185.47","1,182.49","1,188.85","1,182.39",0.29%
2021/10/15,"1,182.07","1,182.23","1,185.31","1,180.87",0.03%
2021/10/14,"1,181.69","1,186.87","1,190.94","1,181.76",-0.38%
2021/10/13,"1,186.18","1,197.92","1,199.49","1,186.30",-0.93%
2021/10/12,"1,197.29","1,195.75","1,200.90","1,195.38",0.17%
2021/10/11,"1,195.30","1,196.54","1,196.99","1,191.89",-0.12%
2021/10/8,"1,196.79","1,191.33","1,197.61","1,190.35",0.50%
2021/10/7,"1,190.88","1,190.74","1,192.08","1,188.15",0.06%
2021/10/6,"1,190.21","1,186.69","1,197.94","1,185.90",0.31%
2021/10/5,"1,186.48","1,184.45","1,189.12","1,183.83",0.20%
2021/10/4,"1,184.12","1,179.90","1,185.97","1,178.41",0.32%
2021/10/1,"1,180.35","1,184.78","1,189.05","1,179.20",-0.33%
2021/9/30,"1,184.23","1,187.93","1,189.38","1,180.22",-0.24%
2021/9/29,"1,187.11","1,188.04","1,189.26","1,181.20",0.00%
2021/9/28,"1,187.16","1,177.09","1,188.67","1,176.37",0.78%
2021/9/27,"1,177.94","1,179.95","1,182.46","1,173.98",-0.15%
2021/9/24,"1,179.68","1,174.83","1,182.05","1,171.81",0.43%
2021/9/23,"1,174.63","1,181.99","1,186.62","1,170.36",-0.60%
2021/9/22,"1,181.75","1,184.41","1,185.53","1,178.25",-0.19%
2021/9/21,"1,183.96","1,187.39","1,188.61","1,182.66",-0.14%
2021/9/20,"1,185.67","1,181.56","1,192.41","1,181.47",0.42%
