"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 11월 12일","80.72","81.36","81.59","79.80","-","-1.07%"
"2021년 11월 11일","81.59","81.41","82.33","80.20","-","0.31%"
"2021년 11월 10일","81.34","84.53","84.97","80.81","555.22K","-3.34%"
"2021년 11월 09일","84.15","82.16","84.63","81.78","504.83K","2.71%"
"2021년 11월 08일","81.93","81.13","82.67","81.05","393.95K","0.81%"
"2021년 11월 05일","81.27","79.37","81.80","78.96","531.05K","3.12%"
"2021년 11월 04일","78.81","80.18","83.42","78.25","701.12K","-2.54%"
"2021년 11월 03일","80.86","83.07","83.08","79.69","546.58K","-3.63%"
"2021년 11월 02일","83.91","83.87","84.41","82.92","429.61K","-0.17%"
"2021년 11월 01일","84.05","83.36","84.88","82.74","412.31K","0.57%"
"2021년 10월 29일","83.57","83.09","83.74","81.41","507.31K","0.92%"
"2021년 10월 28일","82.81","82.25","83.21","80.58","491.59K","0.18%"
"2021년 10월 27일","82.66","84.39","84.51","82.01","529.95K","-2.35%"
"2021년 10월 26일","84.65","83.72","84.88","82.97","467.72K","1.06%"
"2021년 10월 25일","83.76","83.98","85.41","83.39","568.73K","0.00%"
"2021년 10월 22일","83.76","82.61","84.22","81.76","465.36K","1.53%"
"2021년 10월 21일","82.50","83.58","83.96","80.79","567.50K","-1.63%"
"2021년 10월 20일","83.87","83.34","84.25","81.30","25.72K","1.10%"
"2021년 10월 19일","82.96","82.37","83.74","81.80","82.61K","0.63%"
"2021년 10월 18일","82.44","82.60","83.87","81.84","134.10K","0.19%"
"2021년 10월 15일","82.28","81.48","82.66","81.39","277.95K","1.19%"
"2021년 10월 14일","81.31","80.59","81.68","80.38","399.81K","1.08%"
"2021년 10월 13일","80.44","80.58","81.04","79.42","487.22K","-0.25%"
"2021년 10월 12일","80.64","80.50","81.62","79.47","598.18K","0.15%"
"2021년 10월 11일","80.52","79.59","82.18","79.55","653.76K","1.47%"
"2021년 10월 08일","79.35","78.86","80.11","78.63","662.01K","1.34%"
"2021년 10월 07일","78.30","77.00","78.89","74.96","545.01K","1.12%"
"2021년 10월 06일","77.43","79.04","79.78","76.83","459.06K","-1.90%"
"2021년 10월 05일","78.93","78.86","80.11","78.63","449.62K","1.69%"
"2021년 10월 04일","77.62","75.90","78.38","75.32","458.01K","2.29%"
"2021년 10월 01일","75.88","75.12","75.99","74.23","389.00K","1.13%"
"2021년 09월 30일","75.03","74.78","76.07","73.14","583.19K","0.27%"
"2021년 09월 29일","74.83","74.38","75.79","73.74","424.19K","-0.61%"
"2021년 09월 28일","75.29","75.43","76.67","74.24","476.14K","-0.21%"
"2021년 09월 27일","75.45","74.19","75.75","74.16","417.83K","1.99%"
"2021년 09월 24일","73.98","73.24","74.27","72.81","350.38K","0.93%"
"2021년 09월 23일","73.30","71.97","73.50","71.61","403.41K","1.48%"
"2021년 09월 22일","72.23","70.85","72.30","70.64","381.06K","2.37%"
"2021년 09월 21일","70.56","70.59","71.63","69.67","37.61K","0.38%"
"2021년 09월 20일","70.29","71.92","72.08","69.86","75.84K","-2.33%"
"2021년 09월 17일","71.97","72.62","72.72","71.21","119.93K","-0.88%"
"2021년 09월 16일","72.61","72.65","72.99","71.53","298.41K","0.00%"
"2021년 09월 15일","72.61","70.76","73.14","70.65","418.67K","3.05%"
"2021년 09월 14일","70.46","70.64","71.22","69.98","414.23K","0.01%"
"2021년 09월 13일","70.45","69.74","70.97","69.51","390.94K","1.05%"
"2021년 09월 10일","69.72","67.97","69.96","67.68","411.08K","2.32%"
"2021년 09월 09일","68.14","69.36","69.89","67.56","556.45K","-1.67%"
"2021년 09월 08일","69.30","68.37","69.75","68.31","389.33K","1.39%"
"2021년 09월 07일","68.35","69.11","69.48","67.64","481.70K","-0.65%"
"2021년 09월 06일","68.80","68.75","69.47","68.27","-","0.07%"
"2021년 09월 05일","68.75","69.22","69.23","68.73","-","-0.78%"
"2021년 09월 03일","69.29","69.76","70.53","69.05","313.09K","-1.00%"
"2021년 09월 02일","69.99","68.29","70.61","67.84","403.31K","2.04%"
"2021년 09월 01일","68.59","68.55","69.24","67.12","399.50K","0.13%"
"2021년 08월 31일","68.50","69.18","69.34","68.16","325.85K","-1.03%"
